Quarter,Index,Area
01-01-11,3478,Hortaleza
01-04-11,3385,Hortaleza
01-07-11,3378,Hortaleza
01-10-11,3346,Hortaleza
01-01-12,3222,Hortaleza
01-04-12,3116,Hortaleza
01-07-12,3034,Hortaleza
01-10-12,2951,Hortaleza
01-01-13,2957,Hortaleza
01-04-13,2965,Hortaleza
01-07-13,3021,Hortaleza
01-10-13,3017,Hortaleza
01-01-14,2956,Hortaleza
01-04-14,2782,Hortaleza
01-07-14,2779,Hortaleza
01-10-14,2765,Hortaleza
01-01-15,2740,Hortaleza
01-04-15,2791,Hortaleza
01-07-15,2823,Hortaleza
01-10-15,2818,Hortaleza
01-01-16,2848,Hortaleza
01-04-16,2852,Hortaleza
01-07-16,2799,Hortaleza
01-10-16,2856,Hortaleza
01-01-17,2861,Hortaleza
01-04-17,3066,Hortaleza
01-07-17,3051,Hortaleza
01-10-17,3203,Hortaleza
01-01-18,3416,Hortaleza
01-04-18,3403,Hortaleza
01-07-18,3600,Hortaleza
01-01-01,1474,Latina
01-04-01,1528,Latina
01-07-01,1573,Latina
01-10-01,1645,Latina
01-01-02,1757,Latina
01-04-02,1863,Latina
01-07-02,2028,Latina
01-10-02,2169,Latina
01-01-03,2262,Latina
01-04-03,2366,Latina
01-07-03,2445,Latina
01-10-03,2500,Latina
01-01-04,2430,Latina
01-04-04,2532,Latina
01-07-04,2654,Latina
01-10-04,2777,Latina
01-01-05,2825,Latina
01-04-05,2876,Latina
01-07-05,2968,Latina
01-10-05,2990,Latina
01-01-06,3096,Latina
01-04-06,3167,Latina
01-07-06,3227,Latina
01-10-06,3223,Latina
01-01-07,3239,Latina
01-04-07,3214,Latina
01-07-07,3162,Latina
01-10-07,3106,Latina
01-01-08,3071,Latina
01-04-08,2971,Latina
01-07-08,2857,Latina
01-10-08,2777,Latina
01-01-09,2659,Latina
01-04-09,2615,Latina
01-07-09,2577,Latina
01-10-09,2517,Latina
01-01-10,2488,Latina
01-04-10,2458,Latina
01-07-10,2453,Latina
01-10-10,2404,Latina
01-01-11,2317,Latina
01-04-11,2251,Latina
01-07-11,2223,Latina
01-10-11,2134,Latina
01-01-12,2050,Latina
01-04-12,2004,Latina
01-07-12,1909,Latina
01-10-12,1821,Latina
01-01-13,1803,Latina
01-04-13,1764,Latina
01-07-13,1926,Latina
01-10-13,1879,Latina
01-01-14,1857,Latina
01-04-14,1723,Latina
01-07-14,1677,Latina
01-10-14,1590,Latina
01-01-15,1628,Latina
01-04-15,1642,Latina
